
    			    Model 2 Results
                            ---------------

     PRC-AUC              F1            Recall         Precision
     -------            -------        --------        ---------
  xgb    rf    lr     xgb  rf  lr   xgb   rf   lr    xgb   rf   lr
.9553  .9553  .9530  .865 .865 .865 .865 .865 .865  .895  .895 .895
.9295  .9658  .9486  .845 .86  .855 .85  .865 .855  .87   .895 .88
.968   .9681  .9665  .8   .8   .79  .805 .805 .8    .86   .86  .855
.9659  .9659  .9659  .98  .98  .98  .985 .985 .985  .985  .985 .985
.7742  .7742  .7739  .505 .505 .505 .59  .59  .59   .775  .775 .775
.6739  .6739  .6739  1    1    1    1    1    1     1     1    1
.7354  .7346  .7134  .8   .8   .795 .8   .8   .79   .8    .8   .795
1      1      1      .97  .97  .97  .965 .965 .965  .97   .97  .97
.975   .975   .975   .935 .935 .935 .935 .935 .935  .94   .94  .94
.9868  .9867  .9867  .915 .915 .915 .915 .915 .915  .93   .93  .93
.9223  .9223  .91    .895 .895 .895 .895 .895 .895  .915  .915 .915
.7539  .7539  .7484  .71  .71  .7   .715 .715 .71   .74   .74  .74
.9682  .9746  .9651  .95  .95  .88  .95  .95  .88   .955  .955 .88
1.0    1.0    1.0    .905 .905 .905 .905 .905 .905  .92   .92  .92 
